_id,url,word_count,section,date,type,headline,abstract
nyt://article/d0990935-bc2b-54dd-b20b-9d957c74ef84,https://www.nytimes.com/2016/10/19/business/international/guiding-refugees-in-europe-on-a-rocky-path-to-assimilation.html,1239,Business Day,2016-10-18T15:23:25+0000,Business,Guiding Refugees in Europe on a Rocky Path to Assimilation,"Private groups have sprung up to help newcomers find professional networks and improve their skills, but the adjustment has been harder than expected."
nyt://article/97516484-00d7-540f-94b3-1fcdf106543b,https://www.nytimes.com/2016/12/30/world/americas/venezuela-violence.html,2029,World,2016-12-30T08:00:44+0000,Foreign,"In a Brutal Year in Venezuela, Even Crime Fighters Are Killers",The deaths of people arrested in anti-crime raids point to an alarming aspect in the wave of violence gripping the nation.
nyt://article/849c9ff3-3b0b-5606-8d01-a039137015cd,https://www.nytimes.com/2016/12/29/world/asia/china-xinjiang-attack.html,475,World,2016-12-29T12:36:48+0000,Foreign,China Says 5 Killed in Attack at Communist Party Office in Xinjiang,"Assailants killed an official and a guard before being shot by the police, the authorities said, but advocates for minority Uighurs raised doubts about the account."
nyt://article/010df051-1742-54fa-b77b-ecd5cad1445a,https://www.nytimes.com/2016/12/29/world/europe/berlin-truck-attack-suspect-released.html,452,World,2016-12-29T16:11:37+0000,Foreign,Germany Releases Tunisian Held in Connection With Berlin Attack,"Further investigation showed the 40-year-old had not been in contact with the man who drove a truck into a Christmas fair, killing 12, the authorities said."
nyt://article/e03c3e32-29a9-5c5a-8b77-4a23ca2380f7,https://www.nytimes.com/2016/12/29/world/europe/spies-vs-spies-a-cold-war-regularity-that-never-quite-cooled.html,761,World,2016-12-30T04:35:08+0000,Foreign,Spies vs. Spies: A Cold War Regularity That Never Quite Cooled,President Obama’s expulsion of 35 diplomats as retaliation for Russian hacking during the election is not the first such order by either country.
nyt://article/33ae33ac-f7c9-500c-afdb-2cde1d5efce7,https://www.nytimes.com/2016/12/29/technology/daily-report-tech-resolutions-for-2017.html,136,Technology,2016-12-29T16:23:20+0000,Business,Daily Report: Tech Resolutions for 2017,"A Times reporter recommends five ways to simplify your tech life by creating better habits with devices, improving password management and more."
nyt://article/caaf0fd2-317f-5d63-9553-e657ab30f437,https://www.nytimes.com/2016/12/30/your-money/after-a-year-of-faulty-predictions-3-approaches-to-investing.html,1398,Your Money,2016-12-30T13:36:01+0000,Business,"After a Year of Faulty Predictions, 3 Approaches to Investing","Forecasts about how the market will perform are seldom useful, but there are some bedrock principles that can help investors plan."
nyt://article/fe19fefd-1b9a-57ff-a9f7-5b23a9fc3bc9,https://www.nytimes.com/2016/12/30/technology/daily-report-russia-is-punished-for-hacking-but-for-how-long.html,253,Technology,2016-12-30T17:44:56+0000,Business,"Daily Report: Russia Is Punished for Hacking, but for How Long?","After much deliberation, President Obama is punishing Russia for its cyberattacks against the United States. But his successor may seek to mend fences."
nyt://article/0a3af279-7a05-52d5-8887-bc4bc5c1c247,https://www.nytimes.com/2016/12/27/world/europe/russia-plane-crash.html,506,World,2016-12-27T08:09:37+0000,Foreign,Russian Plane’s ‘Black Box’ Found in Black Sea After Crash,"The flight data recorder may show why the Tupolev 154, which was carrying members of a military choir, crashed en route to Syria, killing 92."
nyt://article/a769c70c-5dfb-5259-a3e3-59f83bc09d07,https://www.nytimes.com/2016/12/28/world/middleeast/israel-un-resolution-jerusalem-settlements.html,1137,World,2016-12-28T11:13:36+0000,Foreign,Israel Postponed Vote on New Housing Before Speech by John Kerry,"A city government committee canceled a vote on permits for homes in East Jerusalem at the request of Prime Minister Benjamin Netanyahu, members of the committee said."
