_id,url,word_count,section,date,type,headline,abstract
nyt://article/5d181101-82cf-5703-b53f-f3b234b7aa4c,https://www.nytimes.com/2002/06/17/technology/17OUST.html,563,Technology,2002-06-17T04:00:00+0000,BIZ,Qwest Said to Oust Its Chief Executive,"Joseph P. Nacchio, the chairman and chief executive of Qwest Communications  International, was forced to resign last night by the company's board, executives involved in the decision said."
nyt://article/87469b5c-39d2-55aa-a67e-d91166037eb9,https://www.nytimes.com/2002/04/03/news/oecds-cautionary-tale-of-porn-and-cyberspace.html,2373,World,2002-04-03T05:00:00+0000,News,OECD's cautionary tale of porn and cyberspace,"PARIS:—  The trouble at the Organization for Economic Cooperation and Development began when its French-language Web site was replaced by an ""adults only"" page offering links to ""puritan sex"" and ""porn tryout."" "
nyt://article/25c84705-0fe9-5c5a-a7cb-fdbc148d06a5,https://www.nytimes.com/2002/05/12/business/talking-money-with-elaine-stritch-just-t-bills-thanks-for-a-lady-who-saves.html,2342,Business Day,2002-05-12T05:00:00+0000,Money and Business/Financial Desk,"Just T-Bills, Thanks, For a Lady Who Saves","Interview with Elaine Stritch, now starring in one-woman Broadway show, Elaine Stritch at Liberty, on subject of money, which she says she cares about very much; she keeps large portion of her assets in real estate and has put bulk of her investments for last 30 years in Treasury bills; photos (L)"
nyt://article/037155d4-71ad-5422-bf02-f0e667d9cbba,https://www.nytimes.com/2002/06/14/world/osaka-journal-oh-so-sober-japan-suddenly-drunk-on-soccer.html,902,World,2002-06-14T05:00:00+0000,Foreign Desk,"Osaka Journal; Oh-So-Sober Japan, Suddenly Drunk on Soccer","Osaka explodes in frenzy when Japan beats Russia for its first ever World Cup soccer victory, scene that was repeated all over Japan; almost no one had predicted that normally subdued populace would be swept up in wild revelry, but Japan's affection for soccer, which began tentatively decade ago, has turned into head-over-heels love affair that reflects deep-seated generational changes; map; photos (Osaka Journal) (M)"
nyt://article/6ed4a6cb-5fd9-578b-9d4a-a349a04cb9ee,https://www.nytimes.com/2002/05/16/technology/l-the-economics-of-ink-075248.html,209,Technology,2002-05-16T05:00:00+0000,Circuits,The Economics of Ink,Peter J Wilson letter on Apr 25 article about inkjet photo printers disputes manufacturers' claim that having individual color cartridges is more convenient and cheaper
nyt://article/c422b876-31c0-5cd9-aab5-88c2d73b06cf,https://www.nytimes.com/2002/04/24/world/world-briefing-africa-nigeria-policing-the-police.html,57,World,2002-04-24T05:00:00+0000,Foreign Desk,World Briefing | Africa: Nigeria: Policing The Police,"Nigeria creates 550-unit to root out corruption in country's police force of 180,000 officers (S)"
nyt://article/510fd0de-bfca-5079-9834-037960853838,https://www.nytimes.com/2002/06/24/international/a-new-condition-for-palestinians-is-set-by-bush.html,1349,World,2002-06-24T05:00:00+0000,International,A New Condition for Palestinians Is Set by Bush,President Bush told the Palestinian people today that they must replace Yasir Arafat as their leader before the U.S. will support an independent Palestinian state.
nyt://article/1fd54768-3afa-57c5-81a6-c37a9390648f,https://www.nytimes.com/2002/04/05/international/israel-continues-sweep-of-cities-taking-hebron.html,1052,World,2002-04-05T05:00:00+0000,International,"Israel Continues Sweep of Cities, Taking Hebron","Israeli tanks and armored vehicles rolled into Hebron on Thursday evening, while heavy fighting was reported in other parts of the West Bank."
nyt://article/eff6f868-491f-5294-84e5-d2ad95628746,https://www.nytimes.com/2002/04/03/world/world-briefing-asia-japan-foreign-minister-cracks-down.html,134,World,2002-04-03T05:00:00+0000,Foreign Desk,World Briefing | Asia: Japan: Foreign Minister Cracks Down,"Min Yoriko Kawaguchi dismisses Japan's ambassador to Netherlands, Kazuhiko Togo, and punishes 36 other foreign ministry employees in major reform effort after series of scandals; she replaces Makiko Tanaka in office (S)"
nyt://article/7aa02310-de4b-5719-ac32-48687d1ca156,https://www.nytimes.com/2002/06/19/world/mideast-turmoil-overview-israel-acts-seize-arab-land-after-blast-bush-delays.html,1556,World,2002-06-19T05:00:00+0000,Foreign Desk,ISRAEL ACTS TO SEIZE ARAB LAND AFTER BLAST; BUSH DELAYS TALK,"Israel says it will shortly begin seizing land held by Palestinian Authority in response to Palestinian suicide bombing on Jerusalem bus that killed 19 people and hold it as long as terror continues; Israeli military moves into West Bank areas, with tanks and troops briefly entering Nablus, arresting three suspects and withdrawing; soldiers also seize six Palestinians in Hebron and two nearby villages, raid Jenin and its refugee camp and enter Qalqilya; it is not clear whether moves are part of new policy; Palestinian Authority condemns bombing; holds Israel has left it powerless to stop attacks; map; graph of rise in suicide bombings; photos (M)"
